Team,Year,Brand_Value_INR_Crore
CSK,2013,380.9
CSK,2014,439.2
CSK,2015,481.5
CSK,2016,0
CSK,2017,0
CSK,2018,670.3
CSK,2019,753.3
CSK,2020,852.1
CSK,2021,886.8
CSK,2022,1037.5
CSK,2023,1281.8
CSK,2024,1402.8
CSK,2025,1563.2
CSK,2026,2009.2
DC,2019,373.1
DC,2020,415
DC,2021,458.2
DC,2022,581.6
DC,2023,703
DC,2024,793.2
DC,2025,498.6
DC,2026,1299.6
DD,2013,246.1
DD,2014,244
DD,2015,282.5
DD,2016,315.8
DD,2017,416.6
DD,2018,465.1
GT,2022,471.6
GT,2023,661.6
GT,2024,734.8
GT,2025,692.9
GT,2026,1239.8
KKR,2013,363.3
KKR,2014,414.8
KKR,2015,468.7
KKR,2016,537.6
KKR,2017,644.5
KKR,2018,711.4
KKR,2019,774.4
KKR,2020,829.9
KKR,2021,849.9
KKR,2022,982.5
KKR,2023,1141.3
KKR,2024,1252.5
KKR,2025,1368.9
KKR,2026,1795.5
KXIP,2013,205.1
KXIP,2014,195.2
KXIP,2015,231.1
KXIP,2016,255.4
KXIP,2017,364.6
KXIP,2018,376.2
KXIP,2019,352
KXIP,2020,392.7
KXIP,2021,428.6
LSG,2022,432.3
LSG,2023,537.5
LSG,2024,601.2
LSG,2025,498.6
LSG,2026,1043.1
MI,2013,398.5
MI,2014,445.3
MI,2015,507.2
MI,2016,564.5
MI,2017,690.1
MI,2018,772.9
MI,2019,837.8
MI,2020,918.8
MI,2021,960.7
MI,2022,1116.1
MI,2023,1323.2
MI,2024,1461.2
MI,2025,1647.8
MI,2026,2069.1
PBKS,2022,487.3
PBKS,2023,562.4
PBKS,2024,626.2
PBKS,2025,591.5
PBKS,2026,1068.8
RCB,2013,322.3
RCB,2014,366
RCB,2015,417.3
RCB,2016,497.3
RCB,2017,572.9
RCB,2018,670.3
RCB,2019,704
RCB,2020,763.2
RCB,2021,812.9
RCB,2022,927.5
RCB,2023,1075.1
RCB,2024,1210.8
RCB,2025,1918.2
RCB,2026,2299.9
RR,2013,193.4
RR,2014,183
RR,2015,205.4
RR,2016,235.2
RR,2017,312.5
RR,2018,273.6
RR,2019,267.5
RR,2020,296.4
RR,2021,332.6
RR,2022,455.9
RR,2023,578.9
RR,2024,668
RR,2025,633.8
RR,2026,1179.9
SRH,2013,128.9
SRH,2014,152.5
SRH,2015,186.2
SRH,2016,349.4
SRH,2017,455.7
SRH,2018,540.4
SRH,2019,485.8
SRH,2020,533.5
SRH,2021,502.5
SRH,2022,565.9
SRH,2023,645.1
SRH,2024,901.8
SRH,2025,473.2
SRH,2026,1111.5
